Data,VendaID,Categoria,Produto,PreçoUnitário,Quantidade,PreçoCusto,LucroBruto,LucroLíquido
2022-09-01,1001,Eletrônicos,Smartphone,800,2,600,400,300
2022-09-15,1002,Roupas,Blusa,30,5,20,50,30
2022-10-02,1003,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-20,1004,Eletrônicos,Tablet,500,1,350,150,100
2022-11-05,1005,Roupas,Calça Jeans,40,4,25,60,40
2022-11-18,1006,Acessórios,Relógio,70,2,50,40,30
2022-12-03,1007,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-19,1008,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-05,1009,Acessórios,Mochila,45,2,30,30,20
2023-01-20,1010,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-06,1011,Roupas,Camiseta,20,6,10,60,50
2023-02-21,1012,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-08,1013,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-24,1014,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-10,1015,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-26,1016,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-12,1017,Roupas,Vestido de Festa,70,3,40,90,70
2023-05-28,1018,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-13,1019,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-06-29,1020,Roupas,Sapato Social,50,3,30,60,40
2023-07-15,1021,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-01,1022,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-17,1023,Roupas,Camisa Polo,35,4,20,60,40
2023-09-02,1024,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-18,1025,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
2022-09-02,1026,Eletrônicos,Tablet,500,1,350,150,100
2022-09-16,1027,Roupas,Calça Jeans,40,4,25,60,40
2022-10-03,1028,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-21,1029,Eletrônicos,Smartwatch,150,2,100,100,60
2022-11-06,1030,Roupas,Blusa,30,5,20,50,30
2022-11-19,1031,Acessórios,Relógio,70,2,50,40,30
2022-12-04,1032,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-20,1033,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-06,1034,Acessórios,Mochila,45,2,30,30,20
2023-01-21,1035,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-07,1036,Roupas,Camiseta,20,6,10,60,50
2023-02-22,1037,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-09,1038,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-25,1039,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-11,1040,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-27,1041,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-13,1042,Roupas,Vestido de Festa,70,3,40,90,70
2023-05-29,1043,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-14,1044,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-06-30,1045,Roupas,Sapato Social,50,3,30,60,40
2023-07-16,1046,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-02,1047,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-18,1048,Roupas,Camisa Polo,35,4,20,60,40
2023-09-03,1049,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-19,1050,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
2022-09-03,1051,Eletrônicos,Tablet,500,1,350,150,100
2022-09-17,1052,Roupas,Calça Jeans,40,4,25,60,40
2022-10-04,1053,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-22,1054,Eletrônicos,Smartwatch,150,2,100,100,60
2022-11-07,1055,Roupas,Blusa,30,5,20,50,30
2022-11-20,1056,Acessórios,Relógio,70,2,50,40,30
2022-12-05,1057,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-21,1058,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-07,1059,Acessórios,Mochila,45,2,30,30,20
2023-01-22,1060,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-08,1061,Roupas,Camiseta,20,6,10,60,50
2023-02-23,1062,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-10,1063,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-26,1064,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-12,1065,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-28,1066,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-14,1067,Roupas,Vestido de Festa,70,3,40,90,70
2023-05-30,1068,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-15,1069,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-06-29,1070,Roupas,Sapato Social,50,3,30,60,40
2023-07-15,1071,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-01,1072,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-17,1073,Roupas,Camisa Polo,35,4,20,60,40
2023-09-02,1074,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-18,1075,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
2022-09-04,1076,Eletrônicos,Tablet,500,1,350,150,100
2022-09-18,1077,Roupas,Calça Jeans,40,4,25,60,40
2022-10-05,1078,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-23,1079,Eletrônicos,Smartwatch,150,2,100,100,60
2022-11-09,1080,Roupas,Blusa,30,5,20,50,30
2022-11-22,1081,Acessórios,Relógio,70,2,50,40,30
2022-12-07,1082,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-23,1083,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-08,1084,Acessórios,Mochila,45,2,30,30,20
2023-01-23,1085,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-09,1086,Roupas,Camiseta,20,6,10,60,50
2023-02-24,1087,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-11,1088,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-27,1089,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-13,1090,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-29,1091,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-15,1092,Roupas,Vestido de Festa,70,3,40,90,70
2023-05-31,1093,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-16,1094,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-06-30,1095,Roupas,Sapato Social,50,3,30,60,40
2023-07-16,1096,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-02,1097,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-18,1098,Roupas,Camisa Polo,35,4,20,60,40
2023-09-03,1099,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-19,1100,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
2022-09-05,1101,Eletrônicos,Tablet,500,1,350,150,100
2022-09-19,1102,Roupas,Calça Jeans,40,4,25,60,40
2022-10-06,1103,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-24,1104,Eletrônicos,Smartwatch,150,2,100,100,60
2022-11-10,1105,Roupas,Blusa,30,5,20,50,30
2022-11-23,1106,Acessórios,Relógio,70,2,50,40,30
2022-12-08,1107,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-24,1108,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-09,1109,Acessórios,Mochila,45,2,30,30,20
2023-01-24,1110,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-10,1111,Roupas,Camiseta,20,6,10,60,50
2023-02-25,1112,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-12,1113,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-28,1114,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-14,1115,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-04-30,1116,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-16,1117,Roupas,Vestido de Festa,70,3,40,90,70
2023-05-31,1118,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-17,1119,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-07-01,1120,Roupas,Sapato Social,50,3,30,60,40
2023-07-17,1121,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-03,1122,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-19,1123,Roupas,Camisa Polo,35,4,20,60,40
2023-09-04,1124,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-20,1125,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
2022-09-06,1126,Eletrônicos,Tablet,500,1,350,150,100
2022-09-20,1127,Roupas,Calça Jeans,40,4,25,60,40
2022-10-07,1128,Acessórios,Fones de Ouvido,50,3,35,45,25
2022-10-25,1129,Eletrônicos,Smartwatch,150,2,100,100,60
2022-11-11,1130,Roupas,Blusa,30,5,20,50,30
2022-11-24,1131,Acessórios,Relógio,70,2,50,40,30
2022-12-09,1132,Eletrônicos,Notebook,1200,1,850,350,250
2022-12-25,1133,Roupas,Tênis Esportivo,60,3,40,60,30
2023-01-10,1134,Acessórios,Mochila,45,2,30,30,20
2023-01-25,1135,Eletrônicos,TV 4K,900,1,600,300,200
2023-02-11,1136,Roupas,Camiseta,20,6,10,60,50
2023-02-26,1137,Acessórios,Óculos de Sol,35,3,20,45,25
2023-03-13,1138,Eletrônicos,Fone de Ouvido Bluetooth,60,2,40,40,30
2023-03-29,1139,Roupas,Jaqueta de Couro,90,2,50,80,60
2023-04-15,1140,Acessórios,Bolsa de Couro,80,1,50,30,20
2023-05-01,1141,Eletrônicos,Câmera DSLR,700,1,500,200,150
2023-05-17,1142,Roupas,Vestido de Festa,70,3,40,90,70
2023-06-01,1143,Acessórios,Colar de Pérolas,25,4,15,40,30
2023-06-18,1144,Eletrônicos,Console de Videogame,400,2,280,240,160
2023-07-02,1145,Roupas,Sapato Social,50,3,30,60,40
2023-07-18,1146,Acessórios,Brincos de Prata,15,5,10,25,20
2023-08-04,1147,Eletrônicos,Fone de Ouvido Gamer,80,3,50,90,70
2023-08-20,1148,Roupas,Camisa Polo,35,4,20,60,40
2023-09-05,1149,Acessórios,Lenço de Seda,20,6,10,60,50
2023-09-21,1150,Eletrônicos,Impressora Multifuncional,150,1,90,60,40
